,mz,rtmin,rtmax,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\16_EB3392_AME_p_0.mzML
1668,411.1352071126302,0.17676906111111165,0.17813421666667167,165243.02514648438
1669,411.216802687872,0.19129518452380476,0.1922529126984119,237511.22265625
1670,411.216802687872,0.1923486855158726,0.19330641369047977,159389.03125
1671,411.3068875399503,0.19449898577235245,0.19616320257452483,120329.97631835938
1672,411.34326756254154,0.19973463107638334,0.20227508289930002,1824355.1938476562
1673,412.28379313151044,0.15157274122807018,0.15424087719298246,2180859.212158203
1674,412.3466033935547,0.1999439999999949,0.20181927777777692,448533.5178222656
1675,413.2865376790365,0.16871410416666668,0.17071425,392076.21875
1676,413.2867924854009,0.15196472351421744,0.15475407235142674,622085.6394042969
1677,413.3221869217722,0.19000143498818334,0.19308508451536668,8075709.0
1678,413.3363274468316,0.17020146777778333,0.17177629111111667,697517.7141113281
1679,414.26821521877014,0.1972326626984143,0.19951547248677434,3843533.5
1680,414.2840687144886,0.18136986111110712,0.18347758333333808,559732.1323242188
1681,414.2990271250407,0.17069621626983572,0.17385233978174047,28077852.0
1682,414.2993660432747,0.15257533599290427,0.15348821306146312,109326.953125
1683,414.2993660432747,0.154401090130022,0.1579384887706876,19566352.0
1684,414.2995522238991,0.14353825823044752,0.14657209567901297,3186333.3146972656
1685,414.305673828125,0.11953735243055104,0.12191487326388856,263542.88134765625
1686,414.3257383149246,0.19008546241830587,0.19289621405228824,1838207.9741210938
1687,414.3388707778033,0.17044840811965256,0.17147976388888334,147607.06762695312
1688,414.4296237607546,0.1799428046875005,0.18451378848379912,1416997.75
1689,415.2108201246995,0.15214898655913978,0.15372180376344086,3200371.5
1690,415.25351784446025,0.0761334760536454,0.07845423467433506,274085.57470703125
1691,415.2709560394287,0.19773792857143413,0.19860784920635474,432278.033203125
1692,415.3024317964594,0.17075590852490977,0.1738158338122661,8028179.0
1693,415.3024621691023,0.15452592921146396,0.158237241039421,5541228.935058594
1694,415.3028235802284,0.14367202951388888,0.14612604166666668,954462.0029296875
1695,415.3287106468564,0.19031610470085514,0.19237883974359485,234090.71728515625
1696,415.4330946978401,0.1801548087855345,0.18319512532299848,367681.9152832031
1697,416.2140808105469,0.15215159259259206,0.15363421296295793,848178.7314453125
1698,416.30593646014177,0.1709251212121212,0.1737200303030303,1149497.5891113281
1699,416.3062217018821,0.15487433847737161,0.15714979526749012,748900.4633789062
1700,416.3150096220129,0.1822608535353485,0.18385653535353486,123554.30200195312
1701,416.37200927734375,0.19767951915709367,0.20253365708812815,862364.9577636719
1702,417.1682922363281,0.19322807671958175,0.19435993650793812,428338.95703125
1703,417.3353379193474,0.17797248484848788,0.17885902525252576,188887.8125
1704,417.36773071289065,0.19388740390390946,0.19490866516517072,99225.30419921875
1705,417.36773071289065,0.19501079129129684,0.19735969219219776,386317.73388671875
1706,417.37658370168583,0.19824665053762958,0.19962281541218654,112556.96484375
1707,419.23926470356605,0.18106777469136298,0.18381048302468797,3507740.5756835938
1708,419.2608871459961,0.11984927380951825,0.12132942063491509,98315.39184570312
1709,419.31333872135855,0.19607583108541513,0.1981936576750105,395167.5625
1710,419.31333872135855,0.20066445536287175,0.2069002780989026,1945551.625
1711,419.37163104433,0.19606892424242425,0.1983835909090909,1727844.8530273438
