,mz,rtmin,rtmax,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\05_EB3388_AOH_p_0.mzML,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\06_EB3389_AOH_p_10.mzML,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\07_EB3390_AOH_p_20.mzML,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\08_EB3391_AOH_p_60.mzML,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\16_EB3392_AME_p_0.mzML,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\17_EB3393_AME_p_10.mzML,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\18_EB3394_AME_p_20.mzML,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\19_EB3395_AME_p_60.mzML
2490,518.3203131630858,0.18709650277778334,0.1920823347222278,5837940.109375,4514354.638671875,3602345.2524414062,3223214.5161132812,5451840.865234375,3361664.958984375,2813205.486328125,2894125.93359375
2491,518.3226311274047,0.17670656286549694,0.1807654926900614,156320.27514648438,116809.462890625,182474.98193359375,149712.41796875,121608.86279296875,140231.48193359375,113166.91137695312,148642.6484375
2492,518.3230274177066,0.1787594868421022,0.18053706871343947,48615.5302734375,77585.93920898438,67608.83325195312,104155.09497070312,101120.81982421875,106894.65966796875,113166.91137695312,144326.625
2493,518.3735583127158,0.1826792858187079,0.18485222441519913,105266.02270507812,100637.826171875,141058.544921875,147689.62939453125,160253.39184570312,171130.68774414062,169724.06225585938,190229.72607421875
2494,518.3735583127158,0.18493751827484822,0.18608034868421053,54626.20849609375,42305.0087890625,74473.32080078125,60423.75830078125,46752.3427734375,65463.822998046875,69484.640625,67676.6123046875
2495,518.4919215630478,0.21398156691919165,0.21582307702019163,354360.4543457031,337499.8955078125,304497.6594238281,77684.8984375,195936.94189453125,224229.54125976562,223928.48706054688,90532.56274414062
2496,519.3240065341304,0.18726192424241817,0.19181319696969773,1470613.3076171875,1173405.3515625,937389.2185058594,828003.9130859375,1345578.181640625,830628.2546386719,695305.4338378906,730060.4536132812
2497,519.4379851988233,0.21520688841808022,0.21980578954802768,410820.8513183594,219967.84790039062,192295.97094726562,192463.36083984375,201214.90478515625,166274.0849609375,162170.46875,192612.59228515625
2498,520.2349091102406,0.1509725051440383,0.154066085390942,885989.2905273438,642636.4184570312,632086.5852050781,671277.1567382812,266890.8173828125,290590.75,271425.10205078125,320862.6875
2499,520.3252718134169,0.1875416676954784,0.18995118724278456,130660.89501953125,98389.35571289062,94472.50805664062,54186.01708984375,161577.18481445312,66738.79272460938,69382.67041015625,51056.59912109375
2500,520.3327356997813,0.08468110567633406,0.0873241920289855,1980338.974609375,1807142.2880859375,2444485.541015625,1936861.3388671875,1251392.6862792969,1276190.7700195312,1127056.1213378906,1429561.6430664062
2501,520.3392393507906,0.18145812654320462,0.1838305154320963,2246717.8388671875,2671218.5759277344,2820195.880859375,2834575.646484375,2874348.1923828125,2815114.242919922,2980294.7021484375,2444304.2705078125
2502,520.3392393507906,0.18369383641975093,0.18751943672839771,2714543.0390625,2678696.970703125,2368304.619140625,3390632.18359375,3520685.203125,2918253.52734375,3187871.271484375,3657234.5859375
2503,520.506926899747,0.22121679273504358,0.22333414529914483,875291.0390625,744071.0437011719,440412.51220703125,121562.40161132812,273419.60107421875,277002.37744140625,282437.0295410156,309724.14453125
2504,521.2387292210128,0.1512987121212121,0.15300076136363636,252118.63598632812,184783.5205078125,162769.2138671875,186674.0478515625,33130.00830078125,30783.127197265625,32331.300537109375,44350.587890625
2505,521.257499183478,0.07925745767195873,0.0808662089947246,116511.9326171875,108072.68115234375,142832.26342773438,137366.75610351562,23143.0927734375,58683.30126953125,37463.46484375,54991.900390625
2506,521.3289580346689,0.13292323039215687,0.1353329950980392,216841.37744140625,172544.67431640625,262526.77294921875,261837.0400390625,160614.53125,316307.7043457031,173740.12109375,174176.3134765625
2507,521.3360834236563,0.08486709848484393,0.08674496338384242,482471.1364746094,415347.01953125,564733.1420898438,454721.60546875,294304.2763671875,279097.15625,262468.49951171875,341222.18798828125
2508,521.3424664361613,0.18157005454545452,0.1837802126262682,670946.357421875,751246.2587890625,790794.7028808594,880558.5759277344,814794.9111328125,853776.537109375,847715.03515625,684430.9282226562
2509,521.3424664361613,0.18363365606060605,0.18747297323232884,785153.5717773438,719066.662109375,703130.3872070312,975070.474609375,1017396.0063476562,855122.4475097656,947671.3950195312,1037340.9633789062
2510,521.4310884125198,0.22362533625731537,0.22670459064327586,485003.1982421875,228408.17309570312,146275.36767578125,291284.3728027344,188174.8251953125,98074.94775390625,132497.48974609375,263485.75537109375
2511,521.4403992953352,0.19680096180554998,0.19918287152778336,266802.73046875,227268.142578125,198777.15673828125,165240.8369140625,277643.9519042969,228558.95068359375,195422.9638671875,134915.44604492188
2512,521.4544113551906,0.22303880634921094,0.22773653042327538,621533.0461425781,398845.818359375,244277.80981445312,355903.8640136719,216381.19091796875,124043.0556640625,164053.37036132812,361792.7331542969
2513,522.235339613671,0.15118478444444533,0.15417361111111666,402056.4055175781,339104.2998046875,427025.98388671875,437238.68798828125,294798.8896484375,314216.75341796875,324267.3293457031,415343.40576171875
