Row.names	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	AME	AOH	ms_level	05_EB3388_AOH_p_0.mzXML	06_EB3389_AOH_p_10.mzXML	07_EB3390_AOH_p_20.mzXML	08_EB3391_AOH_p_60.mzXML	16_EB3392_AME_p_0.mzXML	17_EB3393_AME_p_10.mzXML	18_EB3394_AME_p_20.mzXML	19_EB3395_AME_p_60.mzXML	row ID	annotation network number	best ion	identified by n=	partners	neutral M mass	correlation group ID	auto MS2 verify
FT517	359.218773379484	359.218422000163	359.219122793696	583.3275	582.656	583.555	6	3	3	1	7941.98268359372	508209.986501742	760219.723687495	1779482.13057813	88393.5755303306	415733.189792134	703483.018726314	1621720.7984375	517	122	[M+K]+	2	550	320.257316077786	41	NA
FT518	359.255166493383	359.255089862014	359.255363531241	623.466	623.463	623.49	3	0	3	1	724913.471953127	482060.577507802	254862.137280766	1162.47854356166	NA	2205.81803083146	NA	NA	518	121	[M+K]+	7	41;452;546;626;523;293	320.297898707914	41	NA
FT519	359.276899648385	359.276742642389	359.27705665438	674.8055	674.804	674.807	2	0	2	1	273323.864117737	347942.954335717	8045.41013201679	1579.10894639757	2021.50888617622	2077.66461559607	2501.83714163773	NA	519	NA	NA	NA	NA	NA	19	NA
FT520	359.310044220086	359.309731775791	359.310588406458	714.75	714.735	715.195	7	4	3	1	173158.439765625	54992.3262463834	145293.133964061	318866.569094731	202435.78890402	175998.008928573	336156.359189946	278794.166467778	520	NA	NA	NA	NA	NA	38	NA
FT521	359.314277245165	359.313941495791	359.314646826623	711.237	711.226	711.252	8	4	4	1	1001951.83136131	866904.089505221	757042.354626746	274834.710421868	896185.821362834	765241.822757814	547546.475862294	191164.640091791	521	1	[M+H]+	3	588;441	358.307699940071	1	NA
FT522	360.169064804449	360.168661120165	360.16965642645	694.1205	693.674	694.568	8	4	4	1	547931.984441828	440144.859612307	538710.840108511	629531.591637505	518751.807396264	500787.230666666	494299.628152778	514325.178881944	522	NA	NA	NA	NA	NA	13	NA
FT523	360.3100932547	360.309903357889	360.310119753005	569.729	569.495	570.371	4	4	0	1	NA	NA	4477.20895147707	3211.43589469148	353191.106792973	556394.406234365	704671.753345312	778340.711212499	523	121	[M+Na+NH3]+	7	41;452;518;546;626;293	320.297898707914	41	NA
FT524	360.310504510485	360.310323115966	360.310670261344	575.669	573.894	576.513	3	0	3	1	134254.286709157	470962.845298437	589744.313992966	580698.102690236	38047.6505757985	NA	2698.06659982479	NA	524	NA	NA	NA	NA	NA	23	NA
FT525	360.322482079234	360.321930990403	360.322847617656	715.619	715.605	715.634	8	4	4	1	358438.469675003	304727.610322263	335265.418535159	275376.966857143	373820.938386329	294538.966905027	254138.085622563	280811.235428572	525	77	[M+Na]+	2	416	337.333329053555	33	NA
FT526	360.322116128195	360.321594613841	360.322392045965	728.3555	727.9	728.771	8	4	4	1	35559332.5535802	30216008.0831763	21726937.0065566	24798569.8984662	29209734.856893	26889892.1270939	34257655.7752224	22813008.2775626	526	7	[M+Na]+	5	415;864;867;351	337.333171503146	2	NA
FT527	361.165929211326	361.165481779015	361.166370273682	694.135	693.674	694.568	8	4	4	1	714896.125873424	585170.830547273	592641.829160594	631975.824193755	475256.866042098	450516.984486111	452738.773833989	456477.787458333	527	NA	NA	NA	NA	NA	13	NA
FT528	361.181667661807	361.181201784696	361.181801514208	704.67	704.644	705.102	5	1	4	1	311255.034624019	228281.894182621	236535.854994137	254635.504255367	NA	5819.85079101561	7865.04157714842	195103.597852675	528	NA	NA	NA	NA	NA	41	NA
FT529	361.234176315844	361.233755012227	361.234677065209	628.74	628.728	628.755	8	4	4	1	218064.531428572	264731.74035547	292830.68548307	191537.100930808	564112.69552556	460478.514885845	362445.349725694	327071.832026047	529	NA	NA	NA	NA	NA	30	NA
FT530	361.234381027166	361.233829697031	361.234781332689	600.223	600.206	600.651	7	3	4	1	1702314.94877802	4333351.73700908	6046938.00300475	10516682.8904205	1653978.27272596	NA	4681326.27430075	9159347.53803838	530	38	[M+Na]+	5	422;575;592;348	338.243628658634	18	NA
