PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
219	Unknown	1297	9.477127	9.601467	9.718478	278.183	82582.578125	301098.25	null	[M+H]+	M + 1	isotope of 218	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1651.652	278.18304:96108 278.21945:63023 278.95377:14241 279.10187:4883 279.15643:2771 279.18887:6749 279.22284:4174 279.23166:21070 280.23453:5988 281.05164:5871 281.11975:14619 281.1723:3854 281.24741:42783 281.9765:3657 282.22311:2457 282.25031:10282 282.27832:2900 283.09494:2445 283.1582:7042	
220	Unknown	1297	9.513699	9.601467	9.696538	291.1953	154491.46875	548728.375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	85.47324	291.19534:173687 292.19885:31950 293.17465:21155 293.2085:109845 294.1759:2224 294.21201:15853 295.22662:97797	
221	Unknown	1297	9.49175	9.601467	9.725785	299.1617	195802.390625	717771.5	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	154.6196	299.07513:3991 299.13:7589 299.16165:228095 299.20007:2780 299.258:50941 300.12573:3054 300.16486:45255 300.21744:2417 300.26096:8106 301.13177:3607 301.14102:5553 301.16745:4828 301.21585:11000 302.21924:3227 302.30527:2845 303.23172:5843	
222	Unknown	1297	9.521053	9.601467	9.718478	331.1879	84350.9140625	292858	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	69.24029	331.15768:11198 331.1879:101275 331.24734:3129 331.28253:2941 331.64948:2551 332.06665:9272 332.1911:20505 332.2785:3083 332.3158:22876 333.13815:3930 333.20352:63087 333.24371:3138 333.31912:5576 333.96829:2732 334.20697:9602 335.06421:3280 335.16721:3556 335.20734:10128 335.21915:570122 335.23718:2909	
223	Unknown	1297	9.557622	9.601467	9.659964	335.2191	475358.21875	1821251.875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	18.0401	335.06421:3280 335.16721:3556 335.20734:10128 335.21915:570122 335.23718:2909 336.21063:4068 336.22256:95645 336.25125:7215 337.07468:17358 337.23465:75456 338.07327:2777 338.23828:13034 339.07245:3082 339.21375:2687 339.25046:107476 339.37308:7967	
224	Unknown	1303	9.601467	9.645349	9.718478	299.258	186565.75	751829.625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	23.74726	299.07477:8491 299.11002:2696 299.13037:11445 299.16156:29691 299.20126:2591 299.258:211444 300.16428:3475 300.26129:35537 301.14117:6087 301.17566:2558 301.21536:6151 302.05685:4596 303.04141:2500 303.2319:5824	
225	Unknown	1303	9.601467	9.645349	9.725785	339.2505	313685.96875	1386893	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	40.06449	339.25052:374741 339.3732:10462 340.25388:66723 341.25641:5435 343.22717:2346 343.29547:22016 343.33234:4794 344.22794:3129	
226	Unknown	1308	9.49175	9.681905	9.8136	343.2953	123503.1171875	465885.21875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	2470.062	343.29535:151940 344.22659:3459 344.29883:30690 345.24188:9915 346.2962:2497 347.12509:16873 347.25592:3032	
227	Unknown	1309	9.645349	9.689219	9.8136	249.1848	166736.65625	625919.6875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	39.97654	249.18477:196050 249.22095:3938 250.02187:17891 250.18817:32585 250.99898:3828 251.10048:2408 251.12486:3653 251.19075:2106 251.20044:19804 251.74028:2081 252.01732:4148 252.2034:3730 252.37666:2536 253.1035:3464 253.21593:12959	
228	Unknown	1309	9.645349	9.689219	9.784295	277.2161	170180.328125	679658.3125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.132281	277.1799:12806 277.21609:185112 278.21936:37138 278.95358:13032 279.10107:7836 279.19275:10514 279.23187:26578 280.23465:5276 281.24719:19826	
229	Unknown	1311	9.616115	9.703894	9.91594	386.3264	217854.359375	1127114.625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	4357.087	386.28888:3428 386.32645:247374 387.32983:55697 388.25317:3888 388.33243:7947 389.22571:2637 390.9668:2427 391.15656:16689 391.28427:8412	
230	Unknown	1313	9.623408	9.718478	9.806235	359.2191	369523.3125	1882371.625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	11.72348	359.20474:3375 359.21909:411702 360.22244:87177 360.31061:12041 361.23291:11337 361.31418:3615 362.23801:4176 362.32559:6087 363.25046:7212	
231	Unknown	1316	9.674592	9.740461	9.952508	219.1742	348215	1332181.625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	331.9067	218.7608:2357 218.99477:11232 219.04716:2864 219.13853:4624 219.14908:8593 219.17421:439766 220.04904:29592 220.17754:67816 220.99529:5632 221.11691:5202 221.15033:4435 221.15515:3315 223.06361:3081 223.16934:4226 223.9767:4622	
232	Unknown	1317	9.528355	9.747737	9.850166	180.1382	88506.9921875	312539.21875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1770.14	180.13818:106036 180.97829:16997 181.00046:44461 181.08359:4826 181.12233:5426 181.14153:10841 181.15837:10214 182.08093:2382 182.99594:20757 183.10175:7186 183.11722:2624 183.13786:4965 183.17368:2619 183.68727:2298 185.11475:18057 185.13254:3271	
233	Unknown	1320	9.696538	9.769673	9.930676	215.1792	121446.984375	452626.0625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	68.63303	215.12465:2831 215.17921:131166 216.07204:3104 216.08658:6382 216.18246:18109 217.07487:2798 217.10376:6540 217.23808:2373 218.10207:5517 218.99481:14669 219.13759:3006 219.14899:5969 219.17419:158977 220.04907:30048 220.11783:2721 220.17767:25232	
234	Unknown	1320	9.689219	9.769673	9.93788	233.1898	158832.859375	594422.625	null	[M+H]+	M + 0	similar chromatogram in higher mz_238; similar chromatogram in higher mz_239	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	79.49734	233.18979:175675 234.01871:3954 234.19307:32241 235.02454:5553 235.16916:35986 235.95897:2488 236.02139:60214 236.17274:3468 237.02547:3676 237.18507:3138 238.02191:29018	
235	Unknown	1320	9.696538	9.769673	10.01833	251.2003	1136904.5	4366918	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1376.479	251.06982:8456 251.1006:3049 251.20035:1274800 251.20978:9173 251.23845:2251 252.01711:6706 252.20366:239950 253.17989:3651 253.20767:15704 255.23091:2831	
236	Unknown	1320	9.696538	9.769673	9.886733	252.2037	202200.375	726097.0625	null	[M+H]+	M + 1	isotope of 235	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3976.356	252.01711:6706 252.20366:239950 253.17989:3651 253.20767:15704 255.23091:2831	
237	Unknown	1320	9.689219	9.769673	9.872064	313.1748	102349.953125	364723.15625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	2044.136	313.1748:116773 313.23523:4281 313.27423:2325 314.17795:22709 314.26883:84631 315.15543:2338 315.25311:6700 315.272:16519 316.28442:3704 316.3205:3160 317.26852:41596	
238	Unknown	1321	9.689219	9.77703	9.879376	269.2108	153383.78125	657326.75	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	108.3185	269.21085:188093 270.00314:7738 270.21432:29799 270.31528:4892 271.21664:2532 271.2265:35534 271.85959:2141 272.23007:3249 272.93661:10454	
239	Unknown	1321	9.696538	9.77703	9.872064	291.1928	1105357.375	3954363.75	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	608.9364	291.17938:9033 291.19281:1321546 291.20792:4731 292.19617:219729 293.19931:16041 293.21045:5692 293.24591:2888 295.22662:13686	
240	Unknown	1321	9.689219	9.77703	9.893998	292.1962	191839.265625	682731.5	null	[M+H]+	M + 1	isotope of 239	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3836.785	292.19617:219729 293.19931:16041 293.21045:5692 293.24591:2888 295.22662:13686 296.23059:3407	
241	Unknown	1325	9.623408	9.806235	9.989075	357.2786	123005.6015625	409896.28125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	182.1221	357.26147:7292 357.27863:144104 358.2821:30803 358.29395:2464 359.21857:51172 359.28683:4011 360.22318:7508 360.31085:13456 361.16147:8743 361.2348:25827	
242	Unknown	1329	9.725785	9.835497	9.872064	279.2316	1111030.75	3607325.25	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1654.22	278.95367:14004 279.10181:8144 279.19205:3522 279.19614:3425 279.2316:1268614 279.24252:7793 280.23489:250203 280.95346:3000 281.13715:2722 281.20773:3841 281.23834:18241 281.2478:5150 282.26923:2378 282.94885:3495 283.10056:2325 283.1741:3020 283.22632:4866	
243	Unknown	1329	9.762475	9.835497	9.872064	280.2349	221098.046875	703215.4375	null	[M+H]+	M + 1	isotope of 242	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	11.1452	280.23489:250203 280.95346:3000 281.13715:2722 281.20773:3841 281.23834:18241 281.2478:5150 282.26923:2378 282.94885:3495 283.10056:2325 283.1741:3020 283.22632:4866 284.33081:3524 285.19769:2250 285.2038:2059	
244	Unknown	1329	9.769673	9.835497	9.864743	297.2422	388290.96875	1150029.625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	9.141409	297.07413:6999 297.13019:2852 297.24219:444964 298.24551:91881 298.91272:2326 299.07495:3405 299.16199:3769 299.24902:5699 299.25793:12858 301.06906:2997 301.14093:8229 301.21597:8592 302.21878:4350	
245	Unknown	1329	9.769673	9.835497	9.872064	337.2346	2450549.5	7607477	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	47707.16	337.07477:2602 337.17905:7677 337.20346:4173 337.20801:5000 337.22296:37081 337.23456:2922935 337.24893:15870 337.25696:6990 337.26193:6990 337.27856:3468 337.28519:4234 337.35641:2615 337.35907:2390 338.22159:3365 338.22583:7786 338.23795:552530 338.26865:5572 339.19272:4280 339.24127:56255 339.37323:6470 340.12085:5096 340.24106:3918 340.2543:5724 340.32062:2084 341.12891:5400	
246	Unknown	1329	9.769673	9.835497	9.872064	338.2379	475850.1875	1459630.375	null	[M+H]+	M + 1	isotope of 245	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	9249.241	338.22159:3365 338.22583:7786 338.23795:552530 338.26865:5572 339.19272:4280 339.24127:56255 339.37323:6470 340.12085:5096 340.24106:3918 340.2543:5724 340.32062:2084 341.12891:5400 343.14972:2413	
